"index","target_wins","team_batting_2b","team_batting_3b","team_batting_hr","team_batting_bb","team_batting_so","team_baserun_sb","team_pitching_bb","team_pitching_so","team_fielding_e","team_fielding_dp","team_batting_1b","team_pitching_123b","team_batting_slg","team_batting_obp","log_team_batting_3b","log_team_batting_obp","pow2_team_batting_hr","sqrt_team_batting_hr"
25,81,211,30,150,556,928,80,556,928,128,170,972,1213,0.366514245515301,0.311407239391362,3.43398720448515,0.271100789185479,22500,12.2474487139159
26,90,215,31,153,648,902,106,648,902,112,202,965,1211,0.369263231932478,0.321348733233979,3.46573590279973,0.278652982550569,23409,12.369316876853
27,92,236,36,167,671,860,109,671,860,107,156,948,1220,0.383983213848575,0.325708832312286,3.61091791264422,0.281947284176793,27889,12.9228479833201
28,75,257,26,172,590,926,125,590,926,117,162,951,1234,0.3889470013947,0.319311009545129,3.29583686600433,0.27710963786264,29584,13.114877048604
29,75,258,31,124,469,819,86,469,819,135,175,1045,1334,0.3719723183391,0.312322990748316,3.46573590279973,0.27179884219689,15376,11.13552872566
30,91,208,37,145,429,1011,89,429,1011,96,173,1032,1277,0.371612230715775,0.303420433593998,3.63758615972639,0.264991911940717,21025,12.0415945787923
31,80,237,27,147,566,1000,69,566,1000,140,186,1037,1301,0.377227894099325,0.321160642321285,3.3322045101752,0.278510624748737,21609,12.1243556529821
32,81,245,29,115,448,928,94,448,928,102,156,1007,1281,0.357717885894295,0.303417030915994,3.40119738166216,0.264989301361384,13225,10.7238052947636
33,72,202,20,88,416,882,160,416,882,134,172,996,1218,0.324789388779351,0.291726760194047,3.04452243772342,0.25597989707619,7744,9.38083151964686
34,71,259,24,114,564,930,169,564,930,120,161,1002,1285,0.3610082848581,0.318588813922694,3.2188758248682,0.276562084362652,12996,10.6770782520313
36,87,282,28,208,630,993,65,704,1109,106,134,1035,1503,0.427502974672786,0.338540093056982,3.36729582998647,0.29157953725173,43264,14.422205101856
37,70,258,24,193,530,980,53,533,986,129,157,1106,1397,0.41683569979716,0.331013643439245,3.2188758248682,0.285940789878279,37249,13.8924439894498
38,84,279,25,161,617,953,126,617,953,126,140,1066,1370,0.401680096005486,0.336454869902083,3.25809653802148,0.290020488650786,25921,12.6885775404495
39,85,314,27,147,510,1028,93,510,1028,106,146,1042,1383,0.399214883085851,0.323985422200259,3.3322045101752,0.280646447031436,21609,12.1243556529821
40,70,248,22,158,511,1022,71,511,1022,106,156,976,1246,0.378510378510378,0.310679305892357,3.13549421592915,0.270545556926639,24964,12.5698050899765
41,82,309,34,236,608,1024,93,608,1024,134,184,995,1338,0.450983717774763,0.337747742287411,3.55534806148941,0.290987410513898,55696,15.3622914957372
42,75,275,26,158,494,1001,116,494,1001,103,142,988,1289,0.389668920090137,0.315875152615597,3.29583686600433,0.27450195956966,24964,12.5698050899765
43,99,333,32,152,462,805,117,462,805,87,151,1086,1451,0.414444819439757,0.328541148281264,3.49650756146648,0.284081459227912,23104,12.328828005938
44,77,276,33,150,476,838,129,476,838,105,138,1014,1323,0.391462150017283,0.31492476361009,3.52636052461616,0.273779450008223,22500,12.2474487139159
45,92,272,37,162,450,942,143,450,942,90,126,1132,1441,0.410554712527398,0.326946144619075,3.63758615972639,0.282880170215333,26244,12.7279220613579
46,95,278,30,147,447,848,161,447,848,87,139,1065,1373,0.393866712352236,0.31375754527163,3.43398720448515,0.272891386501098,21609,12.1243556529821
48,65,235,46,159,489,1239,73,489,1239,100,125,913,1194,0.379152750922834,0.302326321484263,3.85014760171006,0.264152143323985,25281,12.6095202129185
49,100,289,46,216,588,1045,137,588,1045,104,129,1015,1350,0.439755973563803,0.335375098550549,3.85014760171006,0.289212225083817,46656,14.6969384566991
50,85,282,44,179,535,975,97,535,975,107,138,961,1287,0.409420289855072,0.319945329730066,3.80666248977032,0.277590318869415,32041,13.3790881602597
51,92,284,35,208,587,1052,71,587,1052,84,148,967,1286,0.42401372212693,0.327783399257965,3.58351893845611,0.283510934783106,43264,14.422205101856
52,98,283,41,165,643,1016,92,643,1016,89,116,982,1306,0.4019658561821,0.330856496345901,3.73766961828337,0.285822717181059,27225,12.8452325786651
53,84,303,47,152,531,1006,76,531,1006,107,132,965,1315,0.399793210408409,0.317848030369034,3.87120101090789,0.276000126222248,23104,12.328828005938
54,51,295,38,135,441,1022,53,441,1022,139,144,933,1266,0.379070172383772,0.299476673686898,3.66356164612965,0.261961624716598,18225,11.6189500386223
55,77,291,27,191,606,1094,67,606,1094,94,159,910,1228,0.405236691520721,0.321156162183862,3.3322045101752,0.278507233681159,36481,13.8202749610853
56,76,331,38,160,504,965,76,504,965,104,172,977,1346,0.409059829059829,0.32103994064548,3.66356164612965,0.278419260242449,25600,12.6491106406735
103,84,221,106,65,399,498,100,422,527,211,129,1261,1681,0.385238979902044,0.328322907913982,4.67282883446191,0.283917175046895,4225,8.06225774829855
106,56,205,55,26,375,478,78,397,506,178,163,1149,1491,0.318633432107373,0.300389155115299,4.02535169073515,0.262663569759885,676,5.09901951359278
110,53,255,43,55,473,399,64,501,422,204,149,1171,1556,0.347008547008547,0.319615528182157,3.78418963391826,0.277340427643277,3025,7.41619848709566
111,59,265,81,35,429,454,68,451,478,215,154,1177,1602,0.355200543847723,0.31855567325067,4.40671924726425,0.27653695060742,1225,5.91607978309962
112,74,259,82,69,349,418,73,367,440,187,176,1171,1590,0.374301675977654,0.312450884858391,4.4188406077966,0.271896293723183,4761,8.30662386291807
113,67,232,62,36,387,452,48,407,475,176,148,1108,1475,0.329979181124219,0.300914088468422,4.14313472639153,0.263067162352592,1296,6
114,81,276,56,66,365,522,38,384,549,160,153,1138,1547,0.361992494029342,0.309302766199318,4.04305126783455,0.269494755980812,4356,8.12403840463596
115,87,228,59,57,343,450,26,361,473,137,156,1045,1401,0.333508311461067,0.29036758264932,4.0943445622221,0.25492712557384,3249,7.54983443527075
116,84,250,47,89,402,472,32,431,506,181,129,1180,1585,0.369484046164291,0.316532825047652,3.87120101090789,0.275001633215477,7921,9.4339811320566
117,40,247,35,79,374,462,21,396,489,209,107,1117,1481,0.350103376981392,0.30391751264997,3.58351893845611,0.265373204333373,6241,8.88819441731559
118,75,218,47,70,455,612,24,479,644,199,184,1190,1530,0.349854725687917,0.317811808002994,3.87120101090789,0.275972639848237,4900,8.36660026534076
119,84,213,44,67,517,754,48,551,804,167,136,1024,1366,0.326048642932675,0.305354420731707,3.80666248977032,0.266474590669238,4489,8.18535277187245
121,68,213,42,60,393,530,44,422,569,194,191,1182,1542,0.339000515198351,0.308101097649701,3.76120011569356,0.268576541829268,3600,7.74596669241483
122,69,233,53,63,428,619,51,456,660,195,180,1107,1485,0.343133863714978,0.307443878035652,3.98898404656427,0.26807399292723,3969,7.93725393319377
124,65,230,21,74,519,555,54,568,608,152,151,1006,1376,0.322609156796889,0.30369592207048,3.09104245335832,0.265203247715516,5476,8.60232526704263
125,72,214,38,41,497,645,59,526,683,188,147,991,1317,0.302495543672014,0.295963692545384,3.66356164612965,0.259254582526378,1681,6.40312423743285
126,68,263,41,83,480,535,39,505,563,191,168,979,1350,0.344342937456079,0.303252317395598,3.73766961828337,0.264862922831079,6889,9.1104335791443
127,71,244,27,108,554,544,87,590,580,206,171,1170,1536,0.369531914893617,0.33065059061142,3.3322045101752,0.285667988504287,11664,10.3923048454133
128,86,252,51,47,591,496,64,626,525,179,137,1108,1494,0.337655601659751,0.325074055788694,3.95124371858143,0.281468349037611,2209,6.85565460040104
129,90,279,44,89,587,526,61,617,553,161,130,1107,1504,0.368349016253208,0.330957697366409,3.80666248977032,0.285898756313163,7921,9.4339811320566
130,96,288,52,101,710,568,46,752,601,151,140,1103,1528,0.381431005110733,0.34576615918404,3.97029191355212,0.296963485954396,10201,10.0498756211209
131,79,259,35,108,720,690,29,757,726,157,151,1045,1408,0.363762341936601,0.337141644948179,3.58351893845611,0.290534234877927,11664,10.3923048454133
132,87,259,38,156,647,648,75,681,682,191,154,1031,1397,0.393631669535284,0.33350600280334,3.66356164612965,0.287811566169612,24336,12.4899959967968
133,80,246,39,137,594,649,84,625,683,153,165,1035,1389,0.378257118205349,0.324681322741548,3.68887945411394,0.281171919372289,18769,11.7046999107196
134,68,198,33,116,511,753,61,541,797,162,151,938,1238,0.337364396229771,0.297086818575137,3.52636052461616,0.260120841085684,13456,10.770329614269
136,94,228,43,146,495,651,57,521,685,122,180,1050,1389,0.382059228650138,0.315152271592611,3.78418963391826,0.273952454813819,21316,12.0830459735946
137,89,230,58,191,530,773,44,558,813,160,163,970,1323,0.40862812769629,0.31671745755333,4.07753744390572,0.275141864857871,36481,13.8202749610853
139,100,232,65,209,485,767,37,510,807,126,182,1039,1405,0.429345984412064,0.321547369717876,4.18965474202643,0.278803299836254,43681,14.456832294801
141,89,224,37,184,507,794,43,527,825,128,143,1036,1347,0.399143835616438,0.317032354034957,3.63758615972639,0.275380988924813,33856,13.5646599662505
142,93,208,50,179,487,834,73,512,877,146,144,1028,1353,0.398275862068966,0.314376876876877,3.93182563272433,0.273362695435293,32041,13.3790881602597
143,87,209,36,198,562,926,74,591,974,117,160,993,1303,0.400867302688638,0.319572245710022,3.61091791264422,0.277307627800411,39204,14.0712472794703
144,86,204,38,181,581,975,57,581,975,123,154,953,1195,0.384239035470907,0.314323152279038,3.66356164612965,0.273321820023682,32761,13.4536240470737
145,84,204,39,139,525,954,75,525,954,129,161,963,1206,0.360684665607905,0.306099768202458,3.68887945411394,0.267045420128279,19321,11.7898261225516
146,88,274,32,159,486,825,53,486,825,143,139,1057,1363,0.399146029035013,0.320429307028972,3.49650756146648,0.277956916319329,25281,12.6095202129185
147,86,243,28,196,408,976,64,408,976,140,145,952,1223,0.400625434329395,0.300609192102829,3.36729582998647,0.262832764014306,38416,14
148,85,220,32,207,512,913,59,512,913,154,139,1017,1269,0.410305014647596,0.318612183879407,3.49650756146648,0.276579807666058,42849,14.3874945699382
149,77,191,29,158,512,947,55,512,947,138,148,929,1149,0.360184528034067,0.300099127042497,3.40119738166216,0.262440513131639,24964,12.5698050899765
150,81,179,31,80,414,782,83,414,782,125,139,1109,1319,0.328155000872753,0.299379160266257,3.46573590279973,0.261886581369128,6400,8.94427190999916
152,76,215,24,160,522,736,58,522,736,140,118,1096,1335,0.383547557840617,0.321028528993131,3.2188758248682,0.278410621819576,25600,12.6491106406735
154,74,196,18,151,560,810,49,589,852,164,137,1069,1349,0.367180731242419,0.318752330060892,2.94443897916644,0.276686085111498,22801,12.2882057274445
155,76,220,34,207,612,875,85,616,880,167,143,1045,1307,0.413527397260274,0.33177812337999,3.55534806148941,0.286514984204155,42849,14.3874945699382
156,88,202,37,120,571,772,72,571,772,132,161,1016,1255,0.352497808939527,0.313978629398678,3.63758615972639,0.273059656154422,14400,10.9544511501033
157,67,180,28,108,546,764,55,549,769,176,148,1015,1230,0.333686253749779,0.306190265206659,3.36729582998647,0.267114705700003,11664,10.3923048454133
158,70,170,30,82,589,811,74,589,811,167,151,1027,1227,0.317502668089648,0.309611244776497,3.43398720448515,0.269730333458586,6724,9.05538513813742
159,61,218,20,139,537,876,82,537,876,175,127,1027,1265,0.363144104803493,0.313883742109726,3.04452243772342,0.272987439823748,19321,11.7898261225516
160,69,191,39,123,550,874,90,550,874,153,126,960,1190,0.347029526858769,0.305959927372344,3.68887945411394,0.266938346901366,15129,11.0905365064094
161,67,223,28,128,496,828,99,502,838,185,141,1027,1294,0.361145051492407,0.309558405458336,3.36729582998647,0.269689985313773,16384,11.3137084989848
162,82,227,22,145,437,905,73,440,911,163,157,966,1222,0.363604364660331,0.297963248522231,3.13549421592915,0.260796303953648,21025,12.0415945787923
164,89,215,22,146,554,869,151,554,869,137,186,1028,1265,0.369306236860547,0.317652231259618,3.13549421592915,0.275851540306604,21316,12.0830459735946
165,88,218,45,130,582,847,146,582,847,137,176,1096,1359,0.378701298701299,0.329383006374157,3.8286413964891,0.284714929614619,16900,11.4017542509914
166,80,234,27,111,555,896,140,555,896,139,153,966,1227,0.348142882530656,0.310243933466908,3.3322045101752,0.270213328631727,12321,10.5356537528527
167,66,213,28,126,553,849,72,553,849,159,197,992,1233,0.353106847386024,0.310696148629467,3.36729582998647,0.270558407231681,15876,11.2249721603218
168,72,242,24,139,541,910,94,544,916,142,182,951,1224,0.364874425185709,0.310238669544243,3.2188758248682,0.270209311110176,19321,11.7898261225516
169,69,286,24,153,645,839,136,649,844,117,171,947,1265,0.385409377186844,0.326705423959429,3.2188758248682,0.282698744241285,23409,12.369316876853
170,55,231,28,97,437,859,96,442,870,153,140,979,1254,0.33924454690548,0.2959919774852,3.36729582998647,0.259276407698887,9409,9.8488578017961
172,65,263,26,162,473,1010,92,473,1010,158,133,925,1214,0.382265144863916,0.303923756096006,3.29583686600433,0.265377992543539,26244,12.7279220613579
173,94,255,30,141,563,906,165,563,906,138,122,981,1266,0.375985977212971,0.318137608634267,3.43398720448515,0.276219837788285,19881,11.8743420870379
174,98,223,48,138,493,924,126,493,924,109,121,982,1253,0.372304995617879,0.308029058148019,3.89182029811063,0.268521468497736,19044,11.7473401244707
175,104,239,29,169,560,946,125,560,946,108,146,1007,1275,0.389601386481802,0.320355467172109,3.40119738166216,0.277900993657548,28561,13
177,101,236,30,189,585,1050,82,658,1181,113,127,897,1308,0.390102148643889,0.313206480783723,3.43398720448515,0.272471841741045,35721,13.7477270848675
178,96,264,28,197,530,1032,83,530,1032,130,143,1025,1317,0.414884516680924,0.32430264132313,3.36729582998647,0.280886012453912,38809,14.0356688476182
179,101,268,37,174,597,1160,108,597,1160,114,136,1011,1316,0.405442645539097,0.329513334152636,3.63758615972639,0.284812961099786,30276,13.1909059582729
180,106,297,26,215,548,1062,98,548,1062,91,139,951,1274,0.426632302405498,0.323572112562938,3.29583686600433,0.280334227459056,46225,14.6628782986152
181,103,309,23,197,608,962,148,608,962,111,122,952,1284,0.419243392641216,0.330124853927056,3.17805383034795,0.285272812960792,38809,14.0356688476182
182,95,274,26,179,595,1010,148,595,1010,129,138,1011,1311,0.40513085399449,0.329309126654993,3.29583686600433,0.284659353628017,32041,13.3790881602597
183,88,263,24,174,493,1039,85,493,1039,103,133,971,1258,0.393229166666667,0.310402420193489,3.2188758248682,0.270334281026966,30276,13.1909059582729
185,101,321,31,235,545,933,68,545,933,121,166,1021,1373,0.452348993288591,0.33350498288553,3.46573590279973,0.287810801330011,55225,15.3297097167559
186,96,304,37,178,587,1158,86,587,1158,116,171,984,1325,0.413173652694611,0.32861337084837,3.63758615972639,0.284135820061354,31684,13.3416640641263
187,90,308,37,184,534,1084,92,534,1084,86,170,924,1269,0.41190681622088,0.316382773331673,3.63758615972639,0.274887651805489,33856,13.5646599662505
188,79,312,26,222,526,1169,52,526,1169,99,146,950,1288,0.434262267054197,0.322441163753166,3.29583686600433,0.279479395105217,49284,14.8996644257513
210,98,306,99,103,498,401,139,524,422,206,166,1273,1766,0.42678512668641,0.349714183102385,4.60517018598809,0.29989285381484,10609,10.1488915650922
211,79,264,66,87,471,451,68,502,481,188,155,1170,1598,0.380145688632899,0.32651297719347,4.20469261939097,0.282553677580951,7569,9.32737905308882
212,79,284,66,71,496,372,91,529,396,188,150,1224,1677,0.383603238866397,0.336722506354699,4.20469261939097,0.290220727105509,5041,8.42614977317636
216,86,290,80,66,576,504,80,606,530,194,154,1069,1514,0.369043537881385,0.328238652057822,4.39444915467244,0.283853742783582,4356,8.12403840463596
218,67,304,70,79,523,579,98,550,609,199,160,1036,1483,0.374913614374568,0.322550486163052,4.26267987704132,0.279562058814156,6241,8.88819441731559
220,66,288,73,70,533,555,73,561,584,197,164,1149,1588,0.377653251825437,0.332536837913182,4.30406509320417,0.287084522389184,4900,8.36660026534076
221,59,262,69,69,558,597,77,599,640,161,174,1034,1464,0.355327298050139,0.319882657678744,4.24849524204936,0.277542836948902,4761,8.30662386291807
222,71,269,63,66,548,673,46,584,717,199,171,1112,1539,0.359425739189882,0.325258239055583,4.15888308335967,0.281607337848594,4356,8.12403840463596
223,69,310,54,78,632,598,48,674,637,198,147,1099,1559,0.372452445652174,0.336673407177135,4.00733318523247,0.290183995413564,6084,8.83176086632785
224,61,319,70,84,666,668,66,710,712,200,152,1128,1616,0.388310379576755,0.345642672375346,4.26267987704132,0.296871722259983,7056,9.16515138991168
225,48,344,46,75,541,536,32,569,564,183,175,1190,1662,0.385935677387102,0.339018740787534,3.85014760171006,0.291937062718286,5625,8.66025403784439
227,45,255,53,96,588,637,50,619,670,209,151,1124,1506,0.371374957352439,0.331574291553549,3.98898404656427,0.28636192009916,9216,9.79795897113271
228,70,292,61,124,585,675,54,615,710,166,188,1020,1445,0.391662377766341,0.328190657301475,4.12713438504509,0.283817607994538,15376,11.13552872566
229,74,296,61,96,815,581,53,857,611,159,164,1062,1493,0.379787961696306,0.352753486173481,4.12713438504509,0.302142134638463,9216,9.79795897113271
231,77,244,38,83,606,689,39,646,734,162,135,987,1353,0.338204225352113,0.315364640365422,3.66356164612965,0.274113920244668,6889,9.1104335791443
232,94,235,47,76,559,635,46,588,668,180,149,1039,1390,0.340655509065551,0.314608847788053,3.87120101090789,0.273539167227894,5776,8.71779788708135
233,87,231,40,68,536,595,27,575,638,153,132,1058,1426,0.333217148832346,0.312039620098423,3.71357206670431,0.271582888311689,4624,8.24621125123532
234,69,231,48,88,489,750,24,514,789,167,165,1053,1401,0.349313878756297,0.309636999024022,3.89182029811063,0.269749998832103,7744,9.38083151964686
235,62,199,55,95,613,698,73,645,734,141,178,953,1270,0.337126600284495,0.311022132543035,4.02535169073515,0.270807086822917,9025,9.74679434480896
236,62,266,66,67,612,606,67,648,642,178,201,1124,1542,0.362735042735043,0.333861096732942,4.20469261939097,0.288077816684407,4489,8.18535277187245
237,56,224,32,123,664,736,40,698,774,174,162,990,1311,0.355313924938618,0.323054104996447,3.49650756146648,0.279942779985537,15129,11.0905365064094
238,61,247,45,112,726,783,41,764,824,206,163,931,1286,0.354332098111876,0.326020062773094,3.8286413964891,0.28218202194566,12544,10.5830052442584
239,55,235,49,90,548,729,37,576,767,180,188,981,1330,0.34417296537177,0.309130462198121,3.91202300542815,0.269363147506265,8100,9.48683298050514
240,67,237,48,86,568,757,32,598,796,163,185,1039,1393,0.34812108559499,0.317005574066577,3.89182029811063,0.275360655148981,7396,9.2736184954957
242,57,205,52,55,492,667,32,518,702,155,160,1065,1391,0.323714585519412,0.305069182788209,3.97029191355212,0.266256053000295,3025,7.41619848709566
243,60,186,41,57,589,781,36,620,822,170,167,1045,1338,0.31264367816092,0.311151702201367,3.73766961828337,0.270905912962297,3249,7.54983443527075
244,73,208,36,96,592,763,41,623,803,140,149,967,1274,0.332623736029803,0.308889450091546,3.61091791264422,0.269179029649771,9216,9.79795897113271
245,81,204,42,93,537,745,61,572,794,116,169,1074,1407,0.344347826086957,0.314064064064064,3.76120011569356,0.273124673869415,8649,9.64365076099295
246,78,206,20,114,511,774,35,541,820,121,168,966,1262,0.335637072479178,0.299492061463757,3.04452243772342,0.261973466164825,12996,10.6770782520313
247,78,191,24,115,564,726,38,593,764,155,171,974,1251,0.333981956483283,0.304573344297552,3.2188758248682,0.265876048082781,13225,10.7238052947636
248,94,217,35,129,627,843,39,660,887,113,181,994,1310,0.357966457023061,0.31900396432111,3.58351893845611,0.276876879281161,16641,11.3578166916005
249,95,227,36,149,581,902,39,581,902,126,173,981,1244,0.372842949276625,0.316284282289948,3.61091791264422,0.274812829551334,22201,12.2065556157337
250,77,225,34,156,516,931,45,516,931,122,152,948,1207,0.372304995617879,0.306119223718313,3.55534806148941,0.26706031590533,24336,12.4899959967968
251,86,207,32,146,469,940,97,469,940,99,157,974,1213,0.362870679066503,0.300576929206643,3.49650756146648,0.262807957718499,21316,12.0830459735946
252,97,229,20,162,537,1019,78,537,1019,95,159,946,1195,0.370981907605832,0.308051636524319,3.04452243772342,0.268538729720868,26244,12.7279220613579
253,94,227,38,125,529,907,67,529,907,126,152,909,1174,0.35040765685927,0.300433286606346,3.66356164612965,0.262697506325752,15625,11.1803398874989
254,98,246,35,177,520,938,56,527,950,116,144,986,1283,0.396778662971943,0.315907883635909,3.58351893845611,0.274526833216053,31329,13.3041346956501
255,76,216,44,139,534,1008,54,537,1014,125,145,921,1188,0.360791939190384,0.303607723577236,3.80666248977032,0.265135592769821,19321,11.7898261225516
256,91,215,28,133,570,1019,78,570,1019,120,131,811,1054,0.335865436787846,0.2924777620214,3.36729582998647,0.256561121853129,17689,11.5325625946708
257,109,234,29,175,634,806,82,634,806,101,145,1027,1290,0.393855712806351,0.330089064365072,3.40119738166216,0.285245905679585,30625,13.228756555323
258,108,213,25,179,717,952,84,717,952,117,148,1007,1245,0.386178155929849,0.334062528484186,3.25809653802148,0.288228819321607,32041,13.3790881602597
259,104,212,26,162,689,865,68,706,887,115,152,1017,1287,0.376738525730181,0.33050277964445,3.29583686600433,0.285556900606254,26244,12.7279220613579
260,84,203,31,105,533,984,82,561,1035,105,158,874,1166,0.323412698412698,0.291739439808526,3.46573590279973,0.255989713047058,11025,10.2469507659596
261,97,229,48,119,648,752,146,648,752,119,184,1078,1355,0.372752420470263,0.333404704370966,3.89182029811063,0.287735599297418,14161,10.9087121146357
262,91,226,27,116,509,770,145,509,770,128,174,1049,1302,0.356818974537844,0.312618117676704,3.3322045101752,0.272023705854733,13456,10.770329614269
263,92,228,34,126,591,850,106,602,866,109,178,1020,1307,0.363604610548376,0.320225418768292,3.55534806148941,0.277802493812597,15876,11.2249721603218
264,88,213,28,119,519,883,150,519,883,118,157,966,1207,0.346160666784891,0.303770392363439,3.36729582998647,0.26526036852476,14161,10.9087121146357
265,98,232,25,149,563,951,91,566,957,107,190,1036,1301,0.376582827406765,0.320610449756007,3.25809653802148,0.278094091632084,22201,12.2065556157337
266,91,250,19,155,555,869,75,558,874,111,167,982,1259,0.377513551320161,0.316427922138984,2.99573227355399,0.274921948845829,24025,12.4498995979887
267,104,263,24,184,619,863,101,631,879,127,164,956,1267,0.398191618848896,0.32486181020906,3.2188758248682,0.281308159817328,33856,13.5646599662505
268,100,258,29,156,587,766,111,587,766,95,178,1080,1367,0.393753200204813,0.330861032262003,3.40119738166216,0.285826125443621,24336,12.4899959967968
270,94,259,27,179,634,796,49,634,796,101,140,1013,1299,0.400412796697626,0.33106520611479,3.3322045101752,0.285979528532139,32041,13.3790881602597
271,98,283,27,168,601,800,61,601,800,121,159,1014,1324,0.399965712326419,0.328868911109073,3.3322045101752,0.284328137626913,28224,12.9614813968157
272,85,234,23,160,620,884,51,620,884,123,166,957,1214,0.37359943977591,0.318702823595191,3.17805383034795,0.276648544025244,25600,12.6491106406735
273,84,235,22,215,608,914,69,612,920,116,169,988,1253,0.411673286133656,0.326795376291195,3.13549421592915,0.282766543227283,46225,14.6628782986152
274,73,223,13,169,563,862,64,563,862,135,163,1020,1256,0.378317432784042,0.317968482889379,2.63905732961526,0.276091522963883,28561,13
275,67,219,20,211,524,939,69,524,939,109,174,987,1226,0.403919528269164,0.315636431854423,3.04452243772342,0.274320527146381,44521,14.5258390463339
276,54,200,20,138,507,874,69,510,879,119,173,925,1152,0.345091751291644,0.296791186201137,3.04452243772342,0.259892894840922,19044,11.7473401244707
277,87,238,33,129,593,957,118,593,957,87,163,969,1240,0.362165963431786,0.316237710564218,3.52636052461616,0.274777447719113,16641,11.3578166916005
278,76,235,22,133,664,968,95,668,974,92,152,946,1210,0.355956168257335,0.320131910524842,3.13549421592915,0.277731663821178,17689,11.5325625946708
279,67,256,29,170,528,974,50,528,974,89,172,966,1251,0.38962165914613,0.313760435231217,3.40119738166216,0.272893586264988,28900,13.0384048104053
280,89,243,36,148,647,827,89,647,827,93,168,996,1275,0.379544268568447,0.327253713899056,3.61091791264422,0.283111930668767,21904,12.1655250605964
281,85,287,24,157,655,930,73,655,930,100,171,1002,1313,0.393091537132988,0.33320105012516,3.2188758248682,0.287582855123775,24649,12.5299640861417
283,80,258,30,195,646,903,104,727,1016,81,159,942,1384,0.405010438413361,0.327508230009538,3.43398720448515,0.283303673745276,38025,13.9642400437689
284,88,299,29,257,645,915,76,645,915,97,173,972,1300,0.455780003395009,0.340228223888237,3.40119738166216,0.292839915795145,66049,16.0312195418814
285,98,264,22,196,586,952,63,586,952,97,148,1016,1302,0.409510776599384,0.327593062735142,3.13549421592915,0.283367575432089,38416,14
286,79,303,11,214,593,903,86,593,903,81,144,992,1306,0.425419089976052,0.331673185040332,2.484906649788,0.286436185437021,45796,14.6287388383278
287,78,299,21,203,615,890,107,615,890,89,192,1049,1369,0.427457627118644,0.339041923402199,3.09104245335832,0.291954375705236,41209,14.247806848775
288,74,310,22,184,558,900,126,558,900,116,151,992,1324,0.414990544954444,0.326762043073881,3.13549421592915,0.282741419808379,33856,13.5646599662505
